DividePt	LeftSum		RightSum	TotalSum  PrevDiff  BestThr
	5		463.731		1637.17		2100.9		2100.9		5
	6		609.974		1623.78		2233.76		2100.9		5
	7		761.131		1605.62		2366.76		2100.9		5
	8		856.009		1598.01		2454.02		2100.9		5
	9		1000.24		1586.31		2586.56		2100.9		5
	10		1160		1565.62		2725.61		2100.9		5
	11		1273.75		1541.97		2815.72		2100.9		5
	12		1371.26		1513.73		2884.99		2100.9		5
	13		1446.13		1499.85		2945.98		2100.9		5
	14		1541.37		1489.12		3030.5		2100.9		5
	15		1628.73		1479.89		3108.63		2100.9		5
	16		1723.7		1470.51		3194.22		2100.9		5
	17		1802.94		1462.97		3265.9		2100.9		5
	18		1870.66		1452.27		3322.93		2100.9		5
	19		1941.16		1453.73		3394.89		2100.9		5
	20		1991.64		1472.46		3464.1		2100.9		5
	21		2009.79		1494.93		3504.72		2100.9		5
	22		1996.31		1513.6		3509.91		2100.9		5
	23		1944.86		1524.18		3469.04		2100.9		5
	24		1875.53		1517.97		3393.5		2100.9		5
	25		1779.54		1480.81		3260.35		2100.9		5
	26		1683.09		1409.58		3092.68		2100.9		5
	27		1568.81		1310.98		2879.79		2100.9		5
	28		1437.25		1171.03		2608.29		2100.9		5
	29		1319.94		1032.76		2352.7		2100.9		5
	30		1187.77		883.083		2070.86		2070.86		30
	31		1075.59		751.855		1827.44		1827.44		31
	32		994.376		659.256		1653.63		1653.63		32
	33		948.436		577.519		1525.96		1525.96		33
	34		931.431		529.259		1460.69		1460.69		34
	35		953.997		535.117		1489.11		1460.69		34
	36		1016.72		560.174		1576.89		1460.69		34
	37		1082.76		622.044		1704.8		1460.69		34
	38		1178.78		680.395		1859.18		1460.69		34
	39		1303.85		735.044		2038.89		1460.69		34
	40		1445.04		787.095		2232.13		1460.69		34
	41		1567.45		819.552		2387		1460.69		34
	42		1660.09		869.238		2529.33		1460.69		34
	43		1734.7		926.007		2660.71		1460.69		34
	44		1782.01		996.283		2778.3		1460.69		34
	45		1769.53		1015.19		2784.72		1460.69		34
	46		1743.69		1052.91		2796.6		1460.69		34
	47		1721.89		1057.23		2779.12		1460.69		34
	48		1695.53		1057.43		2752.96		1460.69		34
	49		1667.87		1050.9		2718.78		1460.69		34
	50		1637.94		1037.08		2675.01		1460.69		34
	51		1598.47		1012.6		2611.07		1460.69		34
	52		1580.18		954.268		2534.45		1460.69		34
	53		1587.04		877.957		2465		1460.69		34
	54		1597.5		780.717		2378.22		1460.69		34
